,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
2,C02,3.925,23643.6558,2553.377,3.0280,data/GC_Data/Feb/28OCT22FID_TC_09.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.117,86.5601,11.189,0.0031,data/GC_Data/Feb/28OCT22FID_TC_21.RES,p54m(4C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.956,3137.1596,346.333,0.4018,data/GC_Data/Feb/28OCT22FID_TC_21.RES,p54m(4C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.132,738.7073,90.021,0.0268,data/GC_Data/Feb/01DEC22FID_TC_03.RES,p35m(-4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.995,11018.4551,1181.085,1.4111,data/GC_Data/Feb/01DEC22FID_TC_03.RES,p35m(-4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.126,647.5596,68.935,0.0235,data/GC_Data/Feb/20OCT22FID_TC_03.RES,p54m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.978,27518.5631,2653.781,3.5242,data/GC_Data/Feb/20OCT22FID_TC_03.RES,p54m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.536,18.7907,1.672,0.0007,data/GC_Data/Feb/03NOV22FID_TC_13.RES,p35m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.114,3048.8268,339.530,0.1105,data/GC_Data/Feb/03NOV22FID_TC_13.RES,p35m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.950,35019.9974,3492.799,4.4849,data/GC_Data/Feb/03NOV22FID_TC_13.RES,p35m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.123,173.2169,19.654,0.0063,data/GC_Data/Feb/03NOV22FID_TC_07.RES,p83m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.960,14747.8384,1509.466,1.8887,data/GC_Data/Feb/03NOV22FID_TC_07.RES,p83m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.520,20.9771,1.838,0.0008,data/GC_Data/Feb/03NOV22FID_TC_11.RES,p54m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.105,883.4345,99.803,0.0320,data/GC_Data/Feb/03NOV22FID_TC_11.RES,p54m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.940,26664.3108,2692.747,3.4148,data/GC_Data/Feb/03NOV22FID_TC_11.RES,p54m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.550,15.2790,1.279,0.0006,data/GC_Data/Feb/03NOV22FID_TC_05.RES,p35m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.135,1503.7290,166.218,0.0545,data/GC_Data/Feb/03NOV22FID_TC_05.RES,p35m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.975,25427.9744,2542.289,3.2565,data/GC_Data/Feb/03NOV22FID_TC_05.RES,p35m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.143,144.4350,16.310,0.0052,data/GC_Data/Feb/20OCT22FID_TC_01.RES,pUS(12C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,4.001,17835.2454,1812.332,2.2841,data/GC_Data/Feb/20OCT22FID_TC_01.RES,pUS(12C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.157,2596.7128,160.573,0.0941,data/GC_Data/Feb/01DEC22FID_TC_01.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,4.011,1025.5026,36.576,0.1313,data/GC_Data/Feb/01DEC22FID_TC_01.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.530,19.7058,1.640,0.0008,data/GC_Data/Feb/31OCT22FID_TC_09.RES,p35m(4C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.120,1710.4020,200.755,0.0620,data/GC_Data/Feb/31OCT22FID_TC_09.RES,p35m(4C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.965,18837.9755,1984.044,2.4125,data/GC_Data/Feb/31OCT22FID_TC_09.RES,p35m(4C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.133,142.1099,18.163,0.0051,data/GC_Data/Feb/28OCT22FID_TC_23.RES,p54m(4C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.975,4524.4088,497.038,0.5794,data/GC_Data/Feb/28OCT22FID_TC_23.RES,p54m(4C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.115,131.8089,16.757,0.0048,data/GC_Data/Feb/28OCT22FID_TC_22.RES,p54m(4C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.960,4772.1052,524.828,0.6112,data/GC_Data/Feb/28OCT22FID_TC_22.RES,p54m(4C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.499,27.0110,2.153,0.0010,data/GC_Data/Feb/31OCT22FID_TC_08.RES,p83m(12C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.099,128.5863,14.214,0.0047,data/GC_Data/Feb/31OCT22FID_TC_08.RES,p83m(12C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.944,23694.1154,2389.032,3.0345,data/GC_Data/Feb/31OCT22FID_TC_08.RES,p83m(12C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.562,18002.0211,2188.313,0.6889,data/GC_Data/Feb/03NOV22FID_TC_04.RES,1pc_mix_NaCl_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.125,17975.5959,2077.449,0.6513,data/GC_Data/Feb/03NOV22FID_TC_04.RES,1pc_mix_NaCl_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.970,16144.2896,1669.338,2.0676,data/GC_Data/Feb/03NOV22FID_TC_04.RES,1pc_mix_NaCl_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.125,2333.3776,260.169,0.0845,data/GC_Data/Feb/03NOV22FID_TC_10.RES,p35m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.962,21964.1108,2201.710,2.8129,data/GC_Data/Feb/03NOV22FID_TC_10.RES,p35m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.571,19778.3489,2373.458,0.7569,data/GC_Data/Feb/04NOV22FID_TC_03.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.143,19767.7936,2264.728,0.7162,data/GC_Data/Feb/04NOV22FID_TC_03.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,4.005,19836.1843,2025.999,2.5404,data/GC_Data/Feb/04NOV22FID_TC_03.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.521,31.7132,2.484,0.0012,data/GC_Data/Feb/05NOV22FID_TC_05.RES,p83m(12C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.114,118.5868,13.682,0.0043,data/GC_Data/Feb/05NOV22FID_TC_05.RES,p83m(12C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.960,26738.8516,2669.040,3.4244,data/GC_Data/Feb/05NOV22FID_TC_05.RES,p83m(12C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.136,1026.2522,108.748,0.0372,data/GC_Data/Feb/16OCT22FID_TC_05.RES,p35m(-4C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.990,12102.6208,1162.661,1.5500,data/GC_Data/Feb/16OCT22FID_TC_05.RES,p35m(-4C)7d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.536,306.0508,26.958,0.0117,data/GC_Data/Feb/11JAN23FID_TC_06.RES,p35m(4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.107,1236.2143,144.522,0.0448,data/GC_Data/Feb/11JAN23FID_TC_06.RES,p35m(4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.896,34690.7907,4912.228,4.4428,data/GC_Data/Feb/11JAN23FID_TC_06.RES,p35m(4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
3,C02,3.985,20004.9276,4915.873,2.5620,data/GC_Data/Feb/11JAN23FID_TC_06.RES,p35m(4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.116,97.5700,11.685,0.0035,data/GC_Data/Feb/13OCT22FID_TC_12.RES,pUS(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.967,5660.3317,606.396,0.7249,data/GC_Data/Feb/13OCT22FID_TC_12.RES,pUS(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.510,59.9028,5.302,0.0023,data/GC_Data/Feb/11JAN23FID_TC_12.RES,p35m(12C)180d_T2_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.114,505.4401,69.439,0.0183,data/GC_Data/Feb/11JAN23FID_TC_12.RES,p35m(12C)180d_T2_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.952,5475.9078,645.853,0.7013,data/GC_Data/Feb/11JAN23FID_TC_12.RES,p35m(12C)180d_T2_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.557,5110.5388,724.980,0.1956,data/GC_Data/Feb/13OCT22FID_TC_06.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.125,5015.9465,650.641,0.1817,data/GC_Data/Feb/13OCT22FID_TC_06.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.982,5744.3216,637.911,0.7357,data/GC_Data/Feb/13OCT22FID_TC_06.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.543,127.6894,11.203,0.0049,data/GC_Data/Feb/28NOV22FID_TC_06.RES,failed_inject,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.119,217.1706,26.061,0.0079,data/GC_Data/Feb/28NOV22FID_TC_06.RES,failed_inject,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.958,44382.7167,4648.513,5.6840,data/GC_Data/Feb/28NOV22FID_TC_06.RES,failed_inject,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.563,55.9318,5.489,0.0021,data/GC_Data/Feb/28NOV22FID_TC_07.RES,p83m(4C)_30d_T4_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
